# Wavelength(AA) FluxDensity(erg/s/cm^2/AA) FluxDensityError(erg/s/cm^2/AA)
3.494672746783971525e+04 5.759908355131898577e-22 1.973441151599140985e-22
3.506084285611262749e+04 1.920619373514878362e-22 1.853881843612418116e-22
3.517458660113551741e+04 3.342192896247924906e-22 2.005592877829801550e-22
3.528796730649197707e+04 7.425310955652223770e-22 2.284942785234800625e-22
3.540098741847679776e+04 5.890804529681793055e-22 2.184900047358803858e-22
3.551363218873125879e+04 4.179945857468760296e-22 2.039450376947985202e-22
3.562592267204885138e+04 4.515317712905737594e-22 2.174880965193092332e-22
3.573786153916041076e+04 1.518284439295821110e-22 1.607371844089339392e-22
3.584945143735453166e+04 7.768563307285147196e-22 1.569458808429123643e-22
3.596068096621887526e+04 6.215301129045604580e-22 1.796977131599719515e-22
3.607156540632912947e+04 3.168202563245466794e-22 2.031803384784457602e-22
3.618210922155718436e+04 2.801165149428776898e-22 1.954424183416289975e-22
3.629231496067067201e+04 4.957263874231744306e-22 2.117730138418371466e-22
3.640218320317371399e+04 2.705211011750289545e-22 1.792438225057543814e-22
3.651170699663744745e+04 4.032996383478753487e-22 2.016719092245257452e-22
3.662090074033606652e+04 3.082093707657939456e-23 1.953580052405138938e-22
3.672976688814668159e+04 8.013959161592790746e-22 2.214116172888282003e-22
3.683830787235534081e+04 5.364416669776885573e-22 2.214999264498227160e-22
3.694652610384332365e+04 1.956551997055517858e-22 1.935421187801749166e-22
3.705441896717189957e+04 2.332882844497917643e-22 2.415358568887125320e-22
3.716198837061489030e+04 1.145363276044238133e-21 2.399777919786204995e-22
3.726924260343521019e+04 7.037358585458536624e-22 2.068478218364550950e-22
3.737618398685997090e+04 7.591786543919792086e-23 2.226698554661619270e-22
3.748281482171179232e+04 2.618931228238097941e-22 2.205564823968588839e-22
3.758913738859465957e+04 5.268469827254471989e-22 2.012741475862632029e-22
3.769515394807537086e+04 5.645568747179867536e-22 1.962440165921249087e-22
3.780086668857267068e+04 6.161078437084545635e-22 2.225581419611069200e-22
3.790627056171666482e+04 7.005590245831084657e-22 2.185894865687215250e-22
3.801137552616350877e+04 5.588150429668034134e-22 2.326500628896748430e-22
3.811618375872215984e+04 8.284840059301974777e-22 2.244418192357036093e-22
3.822069741712742689e+04 8.044799052035115338e-22 2.405738809439660818e-22
3.832491864022740629e+04 2.355799916581105600e-22 2.904306473447019993e-22
3.842884954814857338e+04 2.021260971550848293e-22 2.538077468259809491e-22
3.853249224247932580e+04 5.021832547916373573e-22 2.060126540057321659e-22
3.863584880644019722e+04 1.556273341405986075e-21 2.308694007415486256e-22
3.873892130505709792e+04 4.571846779205894354e-22 2.291460366512269786e-22
3.884171178533337661e+04 8.016515396361682722e-22 2.509600087834139813e-22
3.894422227642173675e+04 1.019106454066295766e-21 2.258061257752278515e-22
3.904645478979143809e+04 7.802899166746672823e-22 1.979681221239124857e-22
3.914841131939857587e+04 6.346133095768229664e-22 2.667624205847196980e-22
3.925009384185311501e+04 3.263196813929509530e-22 2.127093107406586394e-22
3.935150346511874523e+04 6.779229361824809835e-22 2.258339959291463572e-22
3.945264232914101012e+04 8.421027385890745506e-22 2.475022649476124908e-22
3.955351337341956241e+04 1.160694639654068228e-21 2.721437360629473402e-22
3.965411850230279379e+04 8.947449729496306001e-22 2.300878894305855997e-22
3.975445960366551299e+04 8.532465359869220558e-22 2.104091648106160725e-22
3.985453854906448396e+04 7.304279558199645076e-22 2.168802166819592247e-22
3.995435719389846781e+04 9.008484248304750174e-22 2.359699404589680254e-22
4.005391737756650400e+04 9.144650649644469798e-22 2.773232424955737353e-22
4.015322092361999239e+04 5.775786486391561260e-22 2.475681220494659017e-22
4.025226963991795492e+04 7.656148428810221773e-22 2.346661042190672865e-22
4.035106531877992529e+04 1.037379513372241384e-21 2.780394172686433663e-22
4.044960807534728519e+04 1.530127913579257382e-22 2.516089882737491162e-22
4.054790077992050647e+04 5.740870562698030274e-22 2.444033499617071853e-22
4.064594541907496750e+04 6.882077364308930680e-22 2.682130401659660463e-22
4.074374372842088633e+04 6.059896608288308330e-22 2.779907767454302501e-22
4.084129742872335919e+04 9.914618963685620917e-22 2.875898304274318566e-22
4.093860822604827263e+04 4.397006209261371886e-22 2.092107184269394977e-22
4.103567781190765527e+04 3.586655341230784616e-22 2.429086931705630651e-22
4.113250786339923798e+04 9.862866147909495623e-22 2.357483554231132382e-22
4.122910004335270787e+04 7.196147421334354807e-22 2.543101637225763165e-22
4.132545600046640175e+04 9.459331673193668647e-22 2.631237514716533287e-22
4.142157736944703356e+04 1.055923936128046673e-21 2.926182136426082095e-22
4.151746577114775573e+04 7.583607703349488919e-22 2.634796873261356764e-22
