# Wavelength(AA) FluxDensity(erg/s/cm^2/AA) FluxDensityError(erg/s/cm^2/AA)
8.015993215011025313e+03 5.182223810458897440e-22 2.880466584798590596e-21
8.101909981797587534e+03 5.591071442093715479e-22 2.881414457522333899e-21
8.196468907715448950e+03 -1.338964898701023031e-22 2.859758035476951812e-21
8.293584710882934814e+03 6.718592040006401960e-21 2.860840327936690437e-21
8.393311934120223668e+03 5.683763860119796475e-21 2.716860781101612179e-21
8.495723489315383631e+03 4.979577942963566148e-23 2.642354448214184318e-21
8.600894694545952007e+03 4.952243472047842697e-21 2.608793086556420215e-21
8.708964820238494212e+03 8.479591978109466210e-21 2.589841197506382294e-21
8.819927349520603457e+03 4.410363327715424635e-21 2.447873299194735131e-21
8.933826337957410942e+03 3.592021079406693988e-21 2.444957088194674137e-21
9.050704476831946522e+03 -6.965977236994567585e-22 2.315394788868486687e-21
9.170793914902253164e+03 -1.968436999335502300e-21 2.186862234951194073e-21
9.293929110420427605e+03 -1.681443610096605715e-21 2.152226220523458790e-21
9.420322497983215726e+03 2.790007293344554852e-21 2.137019483109003047e-21
9.549860506559558416e+03 1.781967550798539181e-21 2.055053236593032405e-21
9.682774447676651107e+03 -4.950695889318692861e-23 1.964056088577818210e-21
9.818932806237502518e+03 1.793976227494407446e-21 1.914656451008159259e-21
9.958383567444865548e+03 -9.733413054913003917e-22 1.852541094168283816e-21
1.010115587552505167e+04 1.165410697294037127e-21 1.815079797797951928e-21
1.024728286160392599e+04 2.907660040254234550e-21 1.764091085173304228e-21
1.039671619330107751e+04 -4.616073619151589107e-23 1.665805172418752984e-21
1.054942876774636898e+04 3.260412689326818104e-21 1.603811276006548878e-21
1.070541845042096975e+04 2.415906548980988474e-21 1.524983032297968274e-21
1.086462203959730687e+04 5.536559446341776460e-21 1.493123913157822741e-21
1.102696616991562041e+04 4.554878380251129649e-21 1.400643525168808542e-21
1.119237035554804243e+04 1.197669228704646084e-21 1.379831899438542739e-21
1.136079597141950035e+04 3.828337684543937088e-21 1.326073019194258498e-21
1.153213268179961779e+04 3.895036372161129608e-21 1.276377370930874347e-21
1.170625112357975195e+04 3.315794400934301131e-23 1.195661989566645732e-21
1.188308627551761128e+04 3.040797235056721390e-21 1.182930018509072969e-21
1.206247049242455068e+04 1.908582299920003534e-21 1.164798873187826311e-21
1.224428669575085587e+04 3.866830977303049495e-21 1.125523726797199725e-21
1.242841646893501456e+04 1.716230263691732677e-21 1.105566698802046108e-21
1.261468155240751548e+04 3.245335526058498063e-21 1.055736143311688559e-21
1.280294044423361265e+04 4.967584376651232938e-21 1.052359562508792952e-21
1.299306166607590058e+04 2.140200297568986136e-21 1.027807970182144305e-21
