  GW190701_203306_H1     f_GR=  133 tau_GR= 7.38ms a_f=0.649 | 3ms: f=185 tau=5.62 snr=3.0 delta=-0.239+-1.346 used=False | 6ms: delta=-0.325
  GW190701_203306_L1     f_GR=  133 tau_GR= 7.38ms a_f=0.649 | 3ms: f=118 tau=23.70 snr=5.1 delta=2.210+-0.229 used=True | 6ms: delta=2.210
  GW190706_222641_H1     f_GR=  103 tau_GR=10.66ms a_f=0.734 | 3ms: f=89 tau=12.15 snr=6.1 delta=0.140+-0.378 used=True | 6ms: delta=0.383
  GW190706_222641_L1     f_GR=  103 tau_GR=10.66ms a_f=0.734 | 3ms: f=80 tau=34.21 snr=3.7 delta=2.210+-0.239 used=False | 6ms: delta=2.210
  GW190707_093326_H1     f_GR=  743 tau_GR= 1.32ms a_f=0.648 | 3ms: f=604 tau=4.25 snr=2.1 delta=2.210+-0.270 used=False | 6ms: delta=2.210
  GW190707_093326_L1     f_GR=  743 tau_GR= 1.32ms a_f=0.648 | 3ms: f=1033 tau=1.31 snr=1.9 delta=-0.012+-1.170 used=False | 6ms: delta=2.210
  GW190708_232457_L1     f_GR=  471 tau_GR= 2.13ms a_f=0.665 | 3ms: f=364 tau=6.83 snr=1.4 delta=2.210+-0.345 used=False | 6ms: delta=2.210
  GW190719_215514_H1     f_GR=  204 tau_GR= 5.32ms a_f=0.726 | 3ms: f=133 tau=4.41 snr=4.0 delta=-0.171+-1.023 used=False | 6ms: delta=0.140
  GW190719_215514_L1     f_GR=  204 tau_GR= 5.32ms a_f=0.726 | 3ms: f=133 tau=9.56 snr=2.7 delta=0.797+-0.586 used=False | 6ms: delta=0.006
  GW190720_000836_H1     f_GR=  720 tau_GR= 1.46ms a_f=0.701 | 3ms: f=806 tau=4.67 snr=2.1 delta=2.210+-0.229 used=False | 6ms: delta=2.210
  GW190720_000836_L1     f_GR=  720 tau_GR= 1.46ms a_f=0.701 | 3ms: f=601 tau=3.00 snr=2.4 delta=1.060+-0.385 used=False | 6ms: delta=2.210
  GW190725_174728_H1     f_GR=  781 tau_GR= 1.22ms a_f=0.619 | 3ms: f=508 tau=0.38 snr=2.7 delta=-0.688+-3.724 used=False | 6ms: delta=2.210
  GW190725_174728_L1     f_GR=  781 tau_GR= 1.22ms a_f=0.619 | 3ms: f=508 tau=0.38 snr=0.7 delta=-0.688+-3.534 used=False | 6ms: delta=2.210
  GW190727_060333_H1     f_GR=  174 tau_GR= 6.06ms a_f=0.706 | 3ms: f=113 tau=1.89 snr=2.0 delta=-0.688+-3.771 used=False | 6ms: delta=2.210
  GW190727_060333_L1     f_GR=  174 tau_GR= 6.06ms a_f=0.706 | 3ms: f=174 tau=5.00 snr=3.2 delta=-0.176+-1.431 used=False | 6ms: delta=0.913
  GW190728_064510_H1     f_GR=  752 tau_GR= 1.40ms a_f=0.703 | 3ms: f=1046 tau=0.44 snr=2.1 delta=-0.688+-3.581 used=False | 6ms: delta=1.661
  GW190728_064510_L1     f_GR=  752 tau_GR= 1.40ms a_f=0.703 | 3ms: f=499 tau=4.48 snr=1.9 delta=2.210+-0.348 used=False | 6ms: delta=1.193
  GW190731_140936_H1     f_GR=  163 tau_GR= 6.34ms a_f=0.691 | 3ms: f=133 tau=20.35 snr=4.5 delta=2.210+-0.167 used=False | 6ms: delta=-0.325
  GW190731_140936_L1     f_GR=  163 tau_GR= 6.34ms a_f=0.691 | 3ms: f=204 tau=20.35 snr=2.0 delta=2.210+-0.289 used=False | 6ms: delta=2.210
  GW190803_022701_H1     f_GR=  176 tau_GR= 5.73ms a_f=0.670 | 3ms: f=115 tau=4.36 snr=1.8 delta=-0.239+-1.511 used=False | 6ms: delta=2.210
  GW190803_022701_L1     f_GR=  176 tau_GR= 5.73ms a_f=0.670 | 3ms: f=194 tau=18.38 snr=2.9 delta=2.210+-0.244 used=False | 6ms: delta=2.210
  GW190805_211137_H1     f_GR=  134 tau_GR= 8.90ms a_f=0.782 | 3ms: f=113 tau=28.57 snr=1.8 delta=2.210+-0.156 used=False | 6ms: delta=2.210
  GW190805_211137_L1     f_GR=  134 tau_GR= 8.90ms a_f=0.782 | 3ms: f=118 tau=15.11 snr=6.3 delta=0.698+-0.485 used=True | 6ms: delta=0.688
  GW190814_H1            f_GR=  500 tau_GR= 1.51ms a_f=0.282 | 3ms: f=375 tau=4.85 snr=2.4 delta=2.210+-0.277 used=False | 6ms: delta=-0.688
  GW190814_L1            f_GR=  500 tau_GR= 1.51ms a_f=0.282 | 3ms: f=516 tau=4.85 snr=2.6 delta=2.210+-0.323 used=False | 6ms: delta=-0.486
  GW190828_063405_H1     f_GR=  234 tau_GR= 4.64ms a_f=0.726 | 3ms: f=187 tau=14.89 snr=2.0 delta=2.210+-0.325 used=False | 6ms: delta=2.210
  GW190828_063405_L1     f_GR=  234 tau_GR= 4.64ms a_f=0.726 | 3ms: f=172 tau=2.57 snr=5.9 delta=-0.447+-0.511 used=True | 6ms: delta=2.210
  GW190828_065509_H1     f_GR=  385 tau_GR= 2.48ms a_f=0.620 | 3ms: f=250 tau=0.77 snr=1.9 delta=-0.688+-4.344 used=False | 6ms: delta=2.210
  GW190828_065509_L1     f_GR=  385 tau_GR= 2.48ms a_f=0.620 | 3ms: f=404 tau=7.96 snr=2.1 delta=2.210+-0.286 used=False | 6ms: delta=2.210
  GW190910_112807_L1     f_GR=  177 tau_GR= 5.74ms a_f=0.678 | 3ms: f=153 tau=18.44 snr=8.6 delta=2.210+-0.223 used=True | 6ms: delta=1.661
  GW190915_235702_H1     f_GR=  234 tau_GR= 4.29ms a_f=0.666 | 3ms: f=169 tau=13.76 snr=1.8 delta=2.210+-0.345 used=False | 6ms: delta=2.210
  GW190915_235702_L1     f_GR=  234 tau_GR= 4.29ms a_f=0.666 | 3ms: f=325 tau=2.86 snr=1.8 delta=-0.333+-1.717 used=False | 6ms: delta=2.210
  GW190916_200658_H1     f_GR=  153 tau_GR= 6.88ms a_f=0.706 | 3ms: f=127 tau=22.09 snr=2.5 delta=2.210+-0.329 used=False | 6ms: delta=2.210
  GW190916_200658_L1     f_GR=  153 tau_GR= 6.88ms a_f=0.706 | 3ms: f=169 tau=8.35 snr=2.6 delta=0.213+-0.854 used=False | 6ms: delta=-0.480
